image_file_path,image_content,content_type
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/iman-Vaugz0s98pI-unsplash.jpg,['STOP'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/jari-hytonen-YCPkW_r_6uA-unsplash.jpg,['4'  'V  '  '7'  '5'  '4'  '{'  '8'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/jon-tyson-pFnvc1Cu6zI-unsplash.jpg,['A'  'BOOK'  'FULL'  'OF'  'HOPE'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/kari-shea-eMzblc6JmXM-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/karina-vorozheeva-Kol2ib6ehQE-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/karina-vorozheeva-rW-I87aPY5Y-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/kote-puerto-so5nsYDOdxw-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/logan-weaver-lgnwvr-gMb4pRfDB0Y-unsplash.jpg,['E'  'DC'  'ALDER'  '0 E E'  'U: S'  'COAST'  'GUARD'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/luke-chesser-LG8ToawE8WQ-unsplash.jpg,['facebook/react: A declarative  '  'X'  '6 7 C'  'GitHub  Inc: [US]'  'github com/facebook/react'  'Incognito'  'Search or jump to_'  'Pull requests'  'Issues'  'Marketplace'  'Explore'  '+7'  'facebook'  'react'  'Used by'  '2 350 253'  'Watch'  '6 643'  'Unstar'  '134 638'  'Fork'  '25 138'  '<> Code'  'Issues 603'  'Pull requests'  '205'  'Projects'  'Wiki'  'Security'  'Insights'  'declarative; efficient; and flexible JavaScript library for building user interfaces.'  'https:IIreactjs org'  'javascript'  'react'  'frontend'  'declarative'  'ui'  'library'  '11 236 commits'  '31 branches'  '118 releases'  '1 305 contributors'  'MIT'  'Branch: master'  'New'  'request'  'Create new file'  'Upload files'  'Find File'  'Clone or download'  'bvaughn Added DevTools 4.0.4 CHANGELOG'  'Latest commit e89c19d yesterday'  'circleci'  '[CI] Disable coverage (#16380)'  '6'  'days ago'  'github'  'Reword issue template'  '2 years ago'  'fixtures'  '[Partial Hydration] Attempt hydration at a higher pri first if props]:'  'days ago'  'packages'  'Added DevTools 4.0.4 CHANGELOG entry'  'yesterday'  'scripts'  'Added better error reporting for print-warnings errors (#16394)'  '5 days ago'  'editorconfig'  'Add insert_final_newline to editorconfig'  '4 years ago'  'eslintignore'  'Use Yarn Workspaces (#11252)'  '2 years ago'  'eslintrc js'  'Revert'  '\'[Scheduler] Profiling features (#16145)" (#16392)'  '5'  'ago'  'gitattributes'  'gitattributes to ensure LF line endings when we should'  'years ago'  'gitignore'  'Parallelizes the build script across multiple processes (#15716)'  '3 months ago'  'pull'  'entry'  'days'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/matthew-feeney-36BKnAgziog-unsplash.jpg,['PASSING'  'PLACE'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/michael-sum-LEpfefQf4rU-unsplash.jpg,['Cot'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/ochir-erdene-oyunmedeg-LmyPLbbUWhA-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/paul-hanaoka-w2DsS-ZAP4U-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/raoul-droog-yMSecCHsIBc-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/screenshot-east-howe.jpg,['East Howe'  'YA Add languages'  'Contents'  'Article'  'Talk'  'Read'  'Edit'  'history'  '[hide]'  'From Wikipedia; the free encyclopedia'  '(Top)'  'Coordinates-'  '50.757*N 1.901*W'  'Origins'  'East Howe is a residential district of the town of Bournemouth; Dorset on the south coast of England.'  'East Howe'  "'Headless Cross Lane'"  'Brook Road'  'Origins'  '[edit _'  'Politics'  'The district takes its name from the now-archaic English word "howe"   variously defined as denoting a'  'depression or a stretch of high ground [1] There is a ridge of high ground stretching across to the west; which'  'References'  'appears to have given rise to the toponyms High Howe  West Howe and East Howe  certainly prior to 1826'  "when all three settlements were marked on Greenwood's map of Dorset: Previously  a 'How Corner' had"  "featured on Paterson's 1785 map of Dorset  seemingly denoting a bend in the Poole to Ringwood road (now"  'the A348) as it passed through the High Howe area:'  "Newsagent's and former post office in East"  "'Headless Cross Lane'"  'edit ]'  'Howe'  'East Howe is approached from the ancient district of Kinson via East Howe Lane  which was known as'  "'Headless Cross Lane' in the 1920s on account of the T-shape formed by its junction with Wimborne Road [2]"  "This T-junction was marked as 'Headless Cross' on Ordnance Survey maps between 1888 and 1969."  "Previously it had been known as 'Rigler's Cross' after William Rigler; a landowner at the time of the 1851"  'census  whose descendants still live in the Kinson and East Howe areas [3] The junction was reconfigured in'  'East Howe'  '1962 when Broadway Lane was extended to meet up with Headless Cross; around the same time  land on'  'the south-west side of the junction was acquired by Bournemouth Borough Council who proceeded to lay it'  "out as a recreation area. The area was to be christened 'Headless Cross Park'   but on reflection this was"  'Location within Dorset'  "thought to sound too gruesome and 'East Howe Recreation Ground' was suggested as an alternative [4]"  'OS grid reference'  '8ZO71953'  'Brook Road'  '[edit'  'Unitary authority'  'Bournemouth '  'Christchurch and Poole'  'Further south  East Howe Lane is joined by Brook Road in which there once stood Howe Lodge  an'  'Ceremonial county'  'Dorset'  'View'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/screenshot-Feynman-diagram.jpg,['Feynman diagram'  '40 languages'  'Article'  'Talk'  'Read'  'Edit'  'Contents [hide]'  'From Wikipedia  the free encyclopedia'  '(Top)'  'Motivation and history'  'For a less technical version  see this article on the Simple English Wikipedia:'  'Representation of physical'  'In theoretical physics  a Feynman diagram is a pictorial representation of the mathematical'  'reality'  'expressions describing the behavior and interaction of subatomic particles. The scheme is named after'  'Particle-path interpretation'  'American physicist Richard Feynman; who introduced the diagrams in 1948. The interaction of'  'Description'  'subatomic particles can be complex'  'difficult to understand; Feynman diagrams give a simple'  'Canonical'  'visualization of what would otherwise be an arcane and abstract formula. According to David Kaiser;'  'quantization'  'formulation'  '"Since the middle of the 2Oth century; theoretical physicists have increasingly turned to this tool to help'  'them undertake critical calculations. Feynman diagrams have revolutionized nearly every aspect of'  'Path integral formulation'  'theoretical physics "[1] While the diagrams are applied primarily to quantum field theory  they can also'  'Particle-path representation'  'be used in other fields  such as solid-state theory: Frank Wilczek wrote that the calculations that won'  'Nonperturbative effects'  'him the 2004 Nobel Prize in Physics "would have been literally unthinkable without Feynman diagrams'  'In this Feynman diagram '  'an electron (e'  'and a'  'positron (e'  'annihilate   producing a photon (V;'  'In popular culture'  "as would [Wilczek's] calculations that established a route to production and observation of the Higgs"  'represented by the blue sine wave) that becomes a'  'See also'  'particle: "[2]'  'quark-antiquark pair (quark q  antiquark 9)  after'  'which the antiquark radiates a gluon (g '  'Notes'  "Feynman used Ernst Stueckelberg's interpretation of the positron as if it were an electron moving"  'represented by the'  'helix) .'  'backward in time [3]'  'antiparticles are represented as moving backward along the time axis in'  'References'  'Feynman diagrams'  'Sources'  'calculation of probability amplitudes in theoretical particle physics requires the use of rather large and'  'External links'  'complicated integrals over a large number of variables. Feynman diagrams can represent these integrals'  'graphically:'  'A Feynman diagram is a graphical representation of a perturbative contribution to the transition amplitude or'  'correlation function of a quantum mechanical or statistical field theory: Within the canonical formulation of quantum'  "field theory; a Feynman diagram represents a term in the Wick's expansion of the perturbative S-matrix"  'Alternatively; the path integral formulation of quantum field theory represents the transition amplitude as'  'View'  'history'  'and'  'green'  'Thus '  'The'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/screenshot-meme-pip-future.jpeg,['INFO:'  'pip'  '15  Looking'  'at Multtpte'  'verstons 0f future'  'collecting'  'future_=0'  '18.2'  'Using cached future-0.18.2.tar .92'  '(829 kB)'  '1'  'looked forward in time '  'saw 14 000 605 futures'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/screenshot-quantum-electrodynamics.jpg,['Quantum electrodynamics'  'YA 56 languages'  'Article'  'Talk'  'Read'  'Edit'  'Contents [hide]'  'From Wikipedia; the free encyclopedia'  '(Top)'  'History'  'particle physics  quantum electrodynamics (QED) is the relativistic quantum field theory of'  'Quantum field theory'  "Feynman's view of quantum"  'electrodynamics. In essence '  'it describes how light and matter interact and is the first theory where full'  'electrodynamics'  'agreement between quantum mechanics and special relativity is achieved. QED mathematically describes all'  'Introduction'  'phenomena involving electrically charged particles interacting by means of exchange of photons and'  'represents the quantum counterpart of classical electromagnetism giving a complete account of matter and'  'Basic constructions'  'light interaction:'  'Probability amplitudes'  'In technical terms  QED can be described as a perturbation theory of the electromagnetic quantum vacuum:'  'Propagators'  'Richard Feynman called it "the jewel of physics" for its extremely accurate predictions of quantities like the'  'Feynman diagram'  'Mass renormalization'  'anomalous magnetic moment of the electron and the Lamb shift of the energy levels of'  "'hydrogen I1]:Chi"  'History'  'Conclusions'  'Background'  '[show]'  'Mathematical formulation'  'History'  '[edit ]'  '[show]'  'Symmetries'  'QED action'  'Main articles: History of quantum mechanics and History of quantum field theory'  'Tools'  '[show]'  'Equations of motion'  'The first formulation of a quantum theory describing radiation and matter interaction is attributed to British'  'Equations'  '[show]'  'Equation of motion for'  'scientist Paul Dirac  who (during the 1920s) was able to compute the coefficient of spontaneous emission of'  'Standard Model'  '[show]'  'Equation of motion for Aj'  'an atom [2]'  'Incomplete theories'  '[show]'  'Interaction picture'  'Dirac described the quantization of the electromagnetic field as an ensemble of harmonic oscillators with the'  'Scientists'  '[show]'  'introduction of the concept of creation and annihilation operators of particles. In the following years  with'  'Feynman diagrams'  "ViT'E"  'contributions from Wolfgang Pauli; Eugene Wigner; Pascual Jordan  Werner Heisenberg and an elegant'  'formulation of quantum electrodynamics by Enrico Fermi [3] physicists came to believe that; in principle  it'  'would be possible to perform'  'computation for any physical process involving photons and charged particles. However;'  'further studies by Felix Bloch with Arnold Nordsieck [4] and Victor Weisskopf [5] in 1937 and 1939  revealed that such'  'computations were reliable only at a first order of perturbation theory; a problem already pointed out by Robert'  'Oppenheimer [6] At higher orders in the series infinities emerged  making such computations meaningless and casting'  'View'  'history'  'foooo'  'any'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/screenshot-science-wikibooks.jpg,['Browse'  'Cookbook'  'Department:Science'  'Wikijunior'  '(Redirected from Science)'  'Featured books'  'Recent changes'  'Departments'  'Donations'  'Random book'  'Science'  'Using Wikibooks'  'Books in this area deal with science: any systematic knowledge-base or prescriptive practice that is capable of resulting in a prediction or predictable type of outcome. Science is a continuing effort'  'Community'  'to discover and increase human knowledge and understanding through disciplined research: The methods of scientific research include the generation of hypotheses about how phenomena work;'  'Reading room forum'  'and experimentation that tests these hypotheses under controlled conditions. The results of this process enable better understanding of past events  and better ability to predict future events of the same kind'  'Community portal'  'as those that have been tested.'  'Bulletin Board'  'Help outl'  'Subsections'  'Featured Books'  'Policies and guidelines'  'Contact uS'  'Shelf:Science (general references)'  'Acoustics'  'Shelf:Health sciences'  'Anatomy and Physiology of Animals'  'Tools'  'Shelf:Life sciences'  'Basic Physics of Nuclear Medicine'  'What links here'  'Related changes'  'Shelf:Physical sciences'  'Coaching Youth Middle Distance Runners'  'Upload file'  'Shelf:Science study guides'  'Engineering Acoustics'  'Special pages'  'First Aid'  'Permanent link'  'Historical Geology'  'Page information'  'Human Physiology'  'Cite this page'  'Wikidata item'  'Physics Study Guide'  'Proteomics'  'Sister projects'  'Radiation Biology for Physical Scientists'  'Wikipedia'  'Radiation Oncology'  'Wikiversity'  'Special Relativity'  'Wiktionary'  'Wikiquote'  'This Quantum World'  'Wikisource'  'Wikinews'  'Wikivoyage'  'Commons'  'Category: Book:Wikibooks Stacks/Departments'  'Wikidata'  'MediaWiki'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/screenshot-wikignome.jpg,['Wikipedia:WikiGnome'  'YA 23 languages'  'Project page'  'Talk'  'Read'  'Edit'  'history'  'Contents [hide]'  'From Wikipedia  the free encyclopedia'  '(Top)'  'How to identify WikiGnomes'  '"WP:GNOME" redirects here. For the desktop environment; see Wikipedia WikiProject Linux:'  'Care and feeding of'  'This page contains material that is kept because it is considered humorous'  'Shortcut'  'WikiGnomes'  'Such material is not meant to be taken seriously:'  'WP:GNOME'  'Common behaviors'  'WikiGnome is a'  'user who makes useful incremental edits without clamoring for attention. WikiGnomes work'  'See also'  'WikiGnome'  'behind the scenes of a wiki  tying up little loose ends and making things run more smoothly: Examples of'  'References'  'WikiGnome-like behavior include improving punctuation  fixing typos  correcting poor grammar; creating redirects'  'External links'  'adding categories  repairing broken links  and many other repetitive (but important) tasks. Typical behaviors are'  'ticking the "This is a minor edit" box before saving any edit  and not providing an edit summary: The WikiGnome is'  'the original example of WikiFauna  having originated in the first wiki WikiWikiWeb [I] A WikiGnome is also known'  'w'  'as a WikiGardenerl2] (not to be confused with a'  'WikiFarmer).'  '0'  'M'  "'E"  'Many highly active wiki contributors exhibit WikiGnome-like behavior as'  'of their work; while others may limit'  'themselves to WikiGnome activity:'  'WikiGnomes are considered to be friendly like WikiFairies and WikiElves. The rough opposite of a WikiGnome is a'  'WikiGnome in its natural habitat'  'WikiOgre_'  'Conservation status'  'WikiGnomes love to work in the shadows making what are called minor edits in various nooks and crannies of'  'Leasl'  'Wikipedia: Look at recent changes and you may even'  'one at work'  'Extinct'  'Threatened'  'Concein'  'WikiGnomes who are'  'feeling familial or desirous of a grander sense of purpose often adopt a typo  gaining'  'fulfillment by raising themselves into existence on the article namespace. Of course  editors are encouraged to'  'Least Concern (IUCN 3.1)'  'garner up some courage and come into the light of day as a gesture of open friendliness and straightforwardly'  'Scientific classification'  'make their edits without being afraid of what others think.'  'Kingdom:'  'Animalia'  'Phylum:'  'Chordata'  'How to identify WikiGnomes'  'edit ]'  'Class:'  'Mammalia'  'View'  'wiki'  'part'  'spot'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/sebastian-coman-travel-dtOTQYmTEs0-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/tim-mossholder-24a3DKNvl1U-unsplash.jpg,['ATTRACTION'],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/visnu-deva-WZBSRWPKBDw-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/wren-meinberg-AL2-t0GrSko-unsplash.jpg,[],ocr
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/aarn-giri-IBhsB71R97k-unsplash.jpg,[],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/andres-gomez-tlKTvMlu_fA-unsplash.jpg,['bench'  'sheep'  'chair'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/andriyko-podilnyk-RCfi7vgJjUY-unsplash.jpg,['dog'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/anne-rosly-RZo9TnwsYhQ-unsplash.jpg,[],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/belinda-fewings-xE8CrYMf84E-unsplash.jpg,['stop sign'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/benigno-hoyuela-AqX_786_G0g-unsplash.jpg,['book'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/bogdan-farca-CEx86maLUSc-unsplash.jpg,['cat'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/bogdan-kupriets-FqmrlQ2cezk-unsplash.jpg,[],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/brendan-church-pKeF6Tt3c08-unsplash.jpg,[],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/chang-qing-8oPubUm97Cc-unsplash.jpg,[],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/florian-klauer-nptLmg6jqDo-unsplash.jpg,['chair'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/giorgio-trovato-K62u25Jk6vo-unsplash.jpg,['scissors'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/gunnar-ridderstrom-2teCcBcAZw4-unsplash.jpg,['boat'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/iman-Vaugz0s98pI-unsplash.jpg,['stop sign'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/jari-hytonen-YCPkW_r_6uA-unsplash.jpg,['cat'  'cat'  'cat'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/jon-tyson-pFnvc1Cu6zI-unsplash.jpg,['book'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/kari-shea-eMzblc6JmXM-unsplash.jpg,['cat'  'chair'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/karina-vorozheeva-Kol2ib6ehQE-unsplash.jpg,[],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/karina-vorozheeva-rW-I87aPY5Y-unsplash.jpg,['cat'  'sofa'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/kote-puerto-so5nsYDOdxw-unsplash.jpg,['cat'  'bottle'  'bottle'  'bed'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/logan-weaver-lgnwvr-gMb4pRfDB0Y-unsplash.jpg,['boat'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/luke-chesser-LG8ToawE8WQ-unsplash.jpg,['laptop'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/matthew-feeney-36BKnAgziog-unsplash.jpg,[],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/michael-sum-LEpfefQf4rU-unsplash.jpg,['cat'  'sofa'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/ochir-erdene-oyunmedeg-LmyPLbbUWhA-unsplash.jpg,[],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/paul-hanaoka-w2DsS-ZAP4U-unsplash.jpg,['cat'  'bowl'  'bowl'  'chair'  'chair'  'chair'  'diningtable'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/raoul-droog-yMSecCHsIBc-unsplash.jpg,['cat'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/screenshot-east-howe.jpg,[],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/screenshot-Feynman-diagram.jpg,[],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/screenshot-meme-pip-future.jpeg,['person'  'person'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/screenshot-quantum-electrodynamics.jpg,[],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/screenshot-science-wikibooks.jpg,['tvmonitor'  'laptop'],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/screenshot-wikignome.jpg,[],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/sebastian-coman-travel-dtOTQYmTEs0-unsplash.jpg,[],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/tim-mossholder-24a3DKNvl1U-unsplash.jpg,[],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/visnu-deva-WZBSRWPKBDw-unsplash.jpg,[],object detection
D:/repo/clara-image-genie/hackathon version/archive-deprecated/test_images/wren-meinberg-AL2-t0GrSko-unsplash.jpg,['boat'  'boat'  'cat'],object detection
